question,answer
How to treat Burns?,"Cool the burn under running water for at least 10 minutes. Cover the burn with a sterile, non-stick dressing or cloth. Do not apply creams, oils, or ice to the burn. Seek medical help for burns that are large, deep, or involve the face, hands, feet, or genitals."
What to do for Burns?,"Cool the burn under running water for at least 10 minutes. Cover the burn with a sterile, non-stick dressing or cloth. Do not apply creams, oils, or ice to the burn. Seek medical help for burns that are large, deep, or involve the face, hands, feet, or genitals."
First aid for Burns?,"Cool the burn under running water for at least 10 minutes. Cover the burn with a sterile, non-stick dressing or cloth. Do not apply creams, oils, or ice to the burn. Seek medical help for burns that are large, deep, or involve the face, hands, feet, or genitals."
How to manage Burns?,"Cool the burn under running water for at least 10 minutes. Cover the burn with a sterile, non-stick dressing or cloth. Do not apply creams, oils, or ice to the burn. Seek medical help for burns that are large, deep, or involve the face, hands, feet, or genitals."
Burns,"Cool the burn under running water for at least 10 minutes. Cover the burn with a sterile, non-stick dressing or cloth. Do not apply creams, oils, or ice to the burn. Seek medical help for burns that are large, deep, or involve the face, hands, feet, or genitals."
How to treat Chemical Burns?,Remove any contaminated clothing and rinse the affected area with running water for at least 20 minutes. Avoid using strong streams of water that could further damage the skin. Do not apply creams or ointments. Seek medical help immediately.
What to do for Chemical Burns?,Remove any contaminated clothing and rinse the affected area with running water for at least 20 minutes. Avoid using strong streams of water that could further damage the skin. Do not apply creams or ointments. Seek medical help immediately.
First aid for Chemical Burns?,Remove any contaminated clothing and rinse the affected area with running water for at least 20 minutes. Avoid using strong streams of water that could further damage the skin. Do not apply creams or ointments. Seek medical help immediately.
How to manage Chemical Burns?,Remove any contaminated clothing and rinse the affected area with running water for at least 20 minutes. Avoid using strong streams of water that could further damage the skin. Do not apply creams or ointments. Seek medical help immediately.
Chemical Burns,Remove any contaminated clothing and rinse the affected area with running water for at least 20 minutes. Avoid using strong streams of water that could further damage the skin. Do not apply creams or ointments. Seek medical help immediately.
How to treat Nosebleeds?,Sit the person upright and lean forward slightly. Pinch the soft part of the nose just above the nostrils for 10-15 minutes. Encourage the person to breathe through their mouth. Avoid blowing the nose or inserting anything into the nostrils. Seek medical help if the bleeding does not stop after 20 minutes or is severe.
What to do for Nosebleeds?,Sit the person upright and lean forward slightly. Pinch the soft part of the nose just above the nostrils for 10-15 minutes. Encourage the person to breathe through their mouth. Avoid blowing the nose or inserting anything into the nostrils. Seek medical help if the bleeding does not stop after 20 minutes or is severe.
First aid for Nosebleeds?,Sit the person upright and lean forward slightly. Pinch the soft part of the nose just above the nostrils for 10-15 minutes. Encourage the person to breathe through their mouth. Avoid blowing the nose or inserting anything into the nostrils. Seek medical help if the bleeding does not stop after 20 minutes or is severe.
How to manage Nosebleeds?,Sit the person upright and lean forward slightly. Pinch the soft part of the nose just above the nostrils for 10-15 minutes. Encourage the person to breathe through their mouth. Avoid blowing the nose or inserting anything into the nostrils. Seek medical help if the bleeding does not stop after 20 minutes or is severe.
Nosebleeds,Sit the person upright and lean forward slightly. Pinch the soft part of the nose just above the nostrils for 10-15 minutes. Encourage the person to breathe through their mouth. Avoid blowing the nose or inserting anything into the nostrils. Seek medical help if the bleeding does not stop after 20 minutes or is severe.
How to treat Eye Injuries?,Avoid rubbing the eye and do not attempt to remove any objects stuck in the eye. Rinse the eye gently with clean water if there is debris. Cover the eye with a sterile bandage or cloth. Seek medical help immediately.
What to do for Eye Injuries?,Avoid rubbing the eye and do not attempt to remove any objects stuck in the eye. Rinse the eye gently with clean water if there is debris. Cover the eye with a sterile bandage or cloth. Seek medical help immediately.
First aid for Eye Injuries?,Avoid rubbing the eye and do not attempt to remove any objects stuck in the eye. Rinse the eye gently with clean water if there is debris. Cover the eye with a sterile bandage or cloth. Seek medical help immediately.
How to manage Eye Injuries?,Avoid rubbing the eye and do not attempt to remove any objects stuck in the eye. Rinse the eye gently with clean water if there is debris. Cover the eye with a sterile bandage or cloth. Seek medical help immediately.
Eye Injuries,Avoid rubbing the eye and do not attempt to remove any objects stuck in the eye. Rinse the eye gently with clean water if there is debris. Cover the eye with a sterile bandage or cloth. Seek medical help immediately.
How to treat Ear Injuries?,"Avoid inserting anything into the ear canal. Gently clean the outer ear with a sterile cloth if there is bleeding. Apply a cold pack to reduce swelling. Seek medical help if there is severe pain, hearing loss, or signs of infection."
What to do for Ear Injuries?,"Avoid inserting anything into the ear canal. Gently clean the outer ear with a sterile cloth if there is bleeding. Apply a cold pack to reduce swelling. Seek medical help if there is severe pain, hearing loss, or signs of infection."
First aid for Ear Injuries?,"Avoid inserting anything into the ear canal. Gently clean the outer ear with a sterile cloth if there is bleeding. Apply a cold pack to reduce swelling. Seek medical help if there is severe pain, hearing loss, or signs of infection."
How to manage Ear Injuries?,"Avoid inserting anything into the ear canal. Gently clean the outer ear with a sterile cloth if there is bleeding. Apply a cold pack to reduce swelling. Seek medical help if there is severe pain, hearing loss, or signs of infection."
Ear Injuries,"Avoid inserting anything into the ear canal. Gently clean the outer ear with a sterile cloth if there is bleeding. Apply a cold pack to reduce swelling. Seek medical help if there is severe pain, hearing loss, or signs of infection."
How to treat Toothache?,Rinse the mouth with warm salt water. Use over-the-counter pain relievers to reduce pain. Apply a cold pack to the outside of the cheek to reduce swelling. Avoid eating very hot or cold foods. Seek dental help if the pain persists or is severe.
What to do for Toothache?,Rinse the mouth with warm salt water. Use over-the-counter pain relievers to reduce pain. Apply a cold pack to the outside of the cheek to reduce swelling. Avoid eating very hot or cold foods. Seek dental help if the pain persists or is severe.
First aid for Toothache?,Rinse the mouth with warm salt water. Use over-the-counter pain relievers to reduce pain. Apply a cold pack to the outside of the cheek to reduce swelling. Avoid eating very hot or cold foods. Seek dental help if the pain persists or is severe.
How to manage Toothache?,Rinse the mouth with warm salt water. Use over-the-counter pain relievers to reduce pain. Apply a cold pack to the outside of the cheek to reduce swelling. Avoid eating very hot or cold foods. Seek dental help if the pain persists or is severe.
Toothache,Rinse the mouth with warm salt water. Use over-the-counter pain relievers to reduce pain. Apply a cold pack to the outside of the cheek to reduce swelling. Avoid eating very hot or cold foods. Seek dental help if the pain persists or is severe.
How to treat Swallowed Object?,"If the person is coughing or able to speak, encourage them to continue coughing to expel the object. If they are unable to breathe or speak, perform the Heimlich maneuver. Seek medical help immediately if the object is not expelled or if the person shows signs of distress."
What to do for Swallowed Object?,"If the person is coughing or able to speak, encourage them to continue coughing to expel the object. If they are unable to breathe or speak, perform the Heimlich maneuver. Seek medical help immediately if the object is not expelled or if the person shows signs of distress."
First aid for Swallowed Object?,"If the person is coughing or able to speak, encourage them to continue coughing to expel the object. If they are unable to breathe or speak, perform the Heimlich maneuver. Seek medical help immediately if the object is not expelled or if the person shows signs of distress."
How to manage Swallowed Object?,"If the person is coughing or able to speak, encourage them to continue coughing to expel the object. If they are unable to breathe or speak, perform the Heimlich maneuver. Seek medical help immediately if the object is not expelled or if the person shows signs of distress."
Swallowed Object,"If the person is coughing or able to speak, encourage them to continue coughing to expel the object. If they are unable to breathe or speak, perform the Heimlich maneuver. Seek medical help immediately if the object is not expelled or if the person shows signs of distress."
How to treat Broken Bone?,Immobilize the injured area using a splint or sling. Apply ice packs to reduce swelling. Avoid moving the person unless necessary. Seek medical help immediately. Do not attempt to realign the bone.
What to do for Broken Bone?,Immobilize the injured area using a splint or sling. Apply ice packs to reduce swelling. Avoid moving the person unless necessary. Seek medical help immediately. Do not attempt to realign the bone.
First aid for Broken Bone?,Immobilize the injured area using a splint or sling. Apply ice packs to reduce swelling. Avoid moving the person unless necessary. Seek medical help immediately. Do not attempt to realign the bone.
How to manage Broken Bone?,Immobilize the injured area using a splint or sling. Apply ice packs to reduce swelling. Avoid moving the person unless necessary. Seek medical help immediately. Do not attempt to realign the bone.
Broken Bone,Immobilize the injured area using a splint or sling. Apply ice packs to reduce swelling. Avoid moving the person unless necessary. Seek medical help immediately. Do not attempt to realign the bone.
How to treat Dislocation?,Immobilize the affected joint using a splint or sling. Apply ice packs to reduce swelling. Avoid moving the joint or attempting to realign it. Seek medical help immediately.
What to do for Dislocation?,Immobilize the affected joint using a splint or sling. Apply ice packs to reduce swelling. Avoid moving the joint or attempting to realign it. Seek medical help immediately.
First aid for Dislocation?,Immobilize the affected joint using a splint or sling. Apply ice packs to reduce swelling. Avoid moving the joint or attempting to realign it. Seek medical help immediately.
How to manage Dislocation?,Immobilize the affected joint using a splint or sling. Apply ice packs to reduce swelling. Avoid moving the joint or attempting to realign it. Seek medical help immediately.
Dislocation,Immobilize the affected joint using a splint or sling. Apply ice packs to reduce swelling. Avoid moving the joint or attempting to realign it. Seek medical help immediately.
How to treat Sprain?,Rest the injured area and avoid putting weight on it. Apply ice packs to reduce swelling and pain. Use compression bandages to support the area. Elevate the injured limb to reduce swelling. Seek medical help if the pain and swelling do not improve.
What to do for Sprain?,Rest the injured area and avoid putting weight on it. Apply ice packs to reduce swelling and pain. Use compression bandages to support the area. Elevate the injured limb to reduce swelling. Seek medical help if the pain and swelling do not improve.
First aid for Sprain?,Rest the injured area and avoid putting weight on it. Apply ice packs to reduce swelling and pain. Use compression bandages to support the area. Elevate the injured limb to reduce swelling. Seek medical help if the pain and swelling do not improve.
How to manage Sprain?,Rest the injured area and avoid putting weight on it. Apply ice packs to reduce swelling and pain. Use compression bandages to support the area. Elevate the injured limb to reduce swelling. Seek medical help if the pain and swelling do not improve.
Sprain,Rest the injured area and avoid putting weight on it. Apply ice packs to reduce swelling and pain. Use compression bandages to support the area. Elevate the injured limb to reduce swelling. Seek medical help if the pain and swelling do not improve.
How to treat Strain?,Rest the injured muscle and avoid activities that cause pain. Apply ice packs to reduce swelling and pain. Use compression bandages to support the area. Elevate the injured limb to reduce swelling. Seek medical help if the pain and swelling do not improve.
What to do for Strain?,Rest the injured muscle and avoid activities that cause pain. Apply ice packs to reduce swelling and pain. Use compression bandages to support the area. Elevate the injured limb to reduce swelling. Seek medical help if the pain and swelling do not improve.
First aid for Strain?,Rest the injured muscle and avoid activities that cause pain. Apply ice packs to reduce swelling and pain. Use compression bandages to support the area. Elevate the injured limb to reduce swelling. Seek medical help if the pain and swelling do not improve.
How to manage Strain?,Rest the injured muscle and avoid activities that cause pain. Apply ice packs to reduce swelling and pain. Use compression bandages to support the area. Elevate the injured limb to reduce swelling. Seek medical help if the pain and swelling do not improve.
Strain,Rest the injured muscle and avoid activities that cause pain. Apply ice packs to reduce swelling and pain. Use compression bandages to support the area. Elevate the injured limb to reduce swelling. Seek medical help if the pain and swelling do not improve.
How to treat Blisters?,"Clean the blister with mild soap and water. Cover it with a sterile bandage or blister pad. Avoid popping the blister as it can lead to infection. If the blister breaks, clean it and apply an antibiotic ointment. Seek medical help if there are signs of infection."
What to do for Blisters?,"Clean the blister with mild soap and water. Cover it with a sterile bandage or blister pad. Avoid popping the blister as it can lead to infection. If the blister breaks, clean it and apply an antibiotic ointment. Seek medical help if there are signs of infection."
First aid for Blisters?,"Clean the blister with mild soap and water. Cover it with a sterile bandage or blister pad. Avoid popping the blister as it can lead to infection. If the blister breaks, clean it and apply an antibiotic ointment. Seek medical help if there are signs of infection."
How to manage Blisters?,"Clean the blister with mild soap and water. Cover it with a sterile bandage or blister pad. Avoid popping the blister as it can lead to infection. If the blister breaks, clean it and apply an antibiotic ointment. Seek medical help if there are signs of infection."
Blisters,"Clean the blister with mild soap and water. Cover it with a sterile bandage or blister pad. Avoid popping the blister as it can lead to infection. If the blister breaks, clean it and apply an antibiotic ointment. Seek medical help if there are signs of infection."
How to treat Splinter?,Clean the area with soap and water. Use sterilized tweezers to gently remove the splinter. Wash the area again and apply an antibiotic ointment. Cover with a sterile bandage if necessary. Seek medical help if the splinter is deeply embedded or if there are signs of infection.
What to do for Splinter?,Clean the area with soap and water. Use sterilized tweezers to gently remove the splinter. Wash the area again and apply an antibiotic ointment. Cover with a sterile bandage if necessary. Seek medical help if the splinter is deeply embedded or if there are signs of infection.
First aid for Splinter?,Clean the area with soap and water. Use sterilized tweezers to gently remove the splinter. Wash the area again and apply an antibiotic ointment. Cover with a sterile bandage if necessary. Seek medical help if the splinter is deeply embedded or if there are signs of infection.
How to manage Splinter?,Clean the area with soap and water. Use sterilized tweezers to gently remove the splinter. Wash the area again and apply an antibiotic ointment. Cover with a sterile bandage if necessary. Seek medical help if the splinter is deeply embedded or if there are signs of infection.
Splinter,Clean the area with soap and water. Use sterilized tweezers to gently remove the splinter. Wash the area again and apply an antibiotic ointment. Cover with a sterile bandage if necessary. Seek medical help if the splinter is deeply embedded or if there are signs of infection.
How to treat Bee Sting?,Remove the stinger by scraping it off with a flat object. Wash the area with soap and water. Apply a cold pack to reduce swelling and pain. Use over-the-counter antihistamines or pain relievers if necessary. Seek medical help if there are signs of an allergic reaction.
What to do for Bee Sting?,Remove the stinger by scraping it off with a flat object. Wash the area with soap and water. Apply a cold pack to reduce swelling and pain. Use over-the-counter antihistamines or pain relievers if necessary. Seek medical help if there are signs of an allergic reaction.
First aid for Bee Sting?,Remove the stinger by scraping it off with a flat object. Wash the area with soap and water. Apply a cold pack to reduce swelling and pain. Use over-the-counter antihistamines or pain relievers if necessary. Seek medical help if there are signs of an allergic reaction.
How to manage Bee Sting?,Remove the stinger by scraping it off with a flat object. Wash the area with soap and water. Apply a cold pack to reduce swelling and pain. Use over-the-counter antihistamines or pain relievers if necessary. Seek medical help if there are signs of an allergic reaction.
Bee Sting,Remove the stinger by scraping it off with a flat object. Wash the area with soap and water. Apply a cold pack to reduce swelling and pain. Use over-the-counter antihistamines or pain relievers if necessary. Seek medical help if there are signs of an allergic reaction.
How to treat Tick Bite?,"Remove the tick using tweezers, grasping it close to the skin and pulling steadily. Clean the bite area with soap and water. Apply an antiseptic to the bite area. Monitor for signs of infection or illness. Seek medical help if a rash or fever develops."
What to do for Tick Bite?,"Remove the tick using tweezers, grasping it close to the skin and pulling steadily. Clean the bite area with soap and water. Apply an antiseptic to the bite area. Monitor for signs of infection or illness. Seek medical help if a rash or fever develops."
First aid for Tick Bite?,"Remove the tick using tweezers, grasping it close to the skin and pulling steadily. Clean the bite area with soap and water. Apply an antiseptic to the bite area. Monitor for signs of infection or illness. Seek medical help if a rash or fever develops."
How to manage Tick Bite?,"Remove the tick using tweezers, grasping it close to the skin and pulling steadily. Clean the bite area with soap and water. Apply an antiseptic to the bite area. Monitor for signs of infection or illness. Seek medical help if a rash or fever develops."
Tick Bite,"Remove the tick using tweezers, grasping it close to the skin and pulling steadily. Clean the bite area with soap and water. Apply an antiseptic to the bite area. Monitor for signs of infection or illness. Seek medical help if a rash or fever develops."
How to treat Spider Bite?,Wash the bite area with soap and water. Apply a cold pack to reduce swelling and pain. Use over-the-counter pain relievers if necessary. Monitor for signs of an allergic reaction or infection. Seek medical help if symptoms worsen or if the bite is from a venomous spider.
What to do for Spider Bite?,Wash the bite area with soap and water. Apply a cold pack to reduce swelling and pain. Use over-the-counter pain relievers if necessary. Monitor for signs of an allergic reaction or infection. Seek medical help if symptoms worsen or if the bite is from a venomous spider.
First aid for Spider Bite?,Wash the bite area with soap and water. Apply a cold pack to reduce swelling and pain. Use over-the-counter pain relievers if necessary. Monitor for signs of an allergic reaction or infection. Seek medical help if symptoms worsen or if the bite is from a venomous spider.
How to manage Spider Bite?,Wash the bite area with soap and water. Apply a cold pack to reduce swelling and pain. Use over-the-counter pain relievers if necessary. Monitor for signs of an allergic reaction or infection. Seek medical help if symptoms worsen or if the bite is from a venomous spider.
Spider Bite,Wash the bite area with soap and water. Apply a cold pack to reduce swelling and pain. Use over-the-counter pain relievers if necessary. Monitor for signs of an allergic reaction or infection. Seek medical help if symptoms worsen or if the bite is from a venomous spider.
How to treat Animal Bite?,Wash the bite area thoroughly with soap and water. Apply an antiseptic to the wound. Cover with a sterile bandage. Seek medical help immediately to assess the risk of rabies or other infections. Keep the person calm and still.
What to do for Animal Bite?,Wash the bite area thoroughly with soap and water. Apply an antiseptic to the wound. Cover with a sterile bandage. Seek medical help immediately to assess the risk of rabies or other infections. Keep the person calm and still.
First aid for Animal Bite?,Wash the bite area thoroughly with soap and water. Apply an antiseptic to the wound. Cover with a sterile bandage. Seek medical help immediately to assess the risk of rabies or other infections. Keep the person calm and still.
How to manage Animal Bite?,Wash the bite area thoroughly with soap and water. Apply an antiseptic to the wound. Cover with a sterile bandage. Seek medical help immediately to assess the risk of rabies or other infections. Keep the person calm and still.
Animal Bite,Wash the bite area thoroughly with soap and water. Apply an antiseptic to the wound. Cover with a sterile bandage. Seek medical help immediately to assess the risk of rabies or other infections. Keep the person calm and still.
How to treat Jellyfish Sting?,Rinse the sting area with vinegar or seawater to deactivate the stingers. Do not use fresh water. Remove any tentacles with a stick or tweezers. Soak the area in hot water (not scalding) for 20-45 minutes. Seek medical help if symptoms worsen or if there are signs of an allergic reaction.
What to do for Jellyfish Sting?,Rinse the sting area with vinegar or seawater to deactivate the stingers. Do not use fresh water. Remove any tentacles with a stick or tweezers. Soak the area in hot water (not scalding) for 20-45 minutes. Seek medical help if symptoms worsen or if there are signs of an allergic reaction.
First aid for Jellyfish Sting?,Rinse the sting area with vinegar or seawater to deactivate the stingers. Do not use fresh water. Remove any tentacles with a stick or tweezers. Soak the area in hot water (not scalding) for 20-45 minutes. Seek medical help if symptoms worsen or if there are signs of an allergic reaction.
How to manage Jellyfish Sting?,Rinse the sting area with vinegar or seawater to deactivate the stingers. Do not use fresh water. Remove any tentacles with a stick or tweezers. Soak the area in hot water (not scalding) for 20-45 minutes. Seek medical help if symptoms worsen or if there are signs of an allergic reaction.
Jellyfish Sting,Rinse the sting area with vinegar or seawater to deactivate the stingers. Do not use fresh water. Remove any tentacles with a stick or tweezers. Soak the area in hot water (not scalding) for 20-45 minutes. Seek medical help if symptoms worsen or if there are signs of an allergic reaction.
How to treat Poison Oak?,Wash the affected area with soap and water as soon as possible. Apply calamine lotion or hydrocortisone cream to reduce itching and swelling. Use cold compresses to relieve discomfort. Avoid scratching the rash. Seek medical help if the rash is severe or covers a large area.
What to do for Poison Oak?,Wash the affected area with soap and water as soon as possible. Apply calamine lotion or hydrocortisone cream to reduce itching and swelling. Use cold compresses to relieve discomfort. Avoid scratching the rash. Seek medical help if the rash is severe or covers a large area.
First aid for Poison Oak?,Wash the affected area with soap and water as soon as possible. Apply calamine lotion or hydrocortisone cream to reduce itching and swelling. Use cold compresses to relieve discomfort. Avoid scratching the rash. Seek medical help if the rash is severe or covers a large area.
How to manage Poison Oak?,Wash the affected area with soap and water as soon as possible. Apply calamine lotion or hydrocortisone cream to reduce itching and swelling. Use cold compresses to relieve discomfort. Avoid scratching the rash. Seek medical help if the rash is severe or covers a large area.
Poison Oak,Wash the affected area with soap and water as soon as possible. Apply calamine lotion or hydrocortisone cream to reduce itching and swelling. Use cold compresses to relieve discomfort. Avoid scratching the rash. Seek medical help if the rash is severe or covers a large area.
How to treat Poison Sumac?,Wash the affected area with soap and water as soon as possible. Apply calamine lotion or hydrocortisone cream to reduce itching and swelling. Use cold compresses to relieve discomfort. Avoid scratching the rash. Seek medical help if the rash is severe or covers a large area.
What to do for Poison Sumac?,Wash the affected area with soap and water as soon as possible. Apply calamine lotion or hydrocortisone cream to reduce itching and swelling. Use cold compresses to relieve discomfort. Avoid scratching the rash. Seek medical help if the rash is severe or covers a large area.
First aid for Poison Sumac?,Wash the affected area with soap and water as soon as possible. Apply calamine lotion or hydrocortisone cream to reduce itching and swelling. Use cold compresses to relieve discomfort. Avoid scratching the rash. Seek medical help if the rash is severe or covers a large area.
How to manage Poison Sumac?,Wash the affected area with soap and water as soon as possible. Apply calamine lotion or hydrocortisone cream to reduce itching and swelling. Use cold compresses to relieve discomfort. Avoid scratching the rash. Seek medical help if the rash is severe or covers a large area.
Poison Sumac,Wash the affected area with soap and water as soon as possible. Apply calamine lotion or hydrocortisone cream to reduce itching and swelling. Use cold compresses to relieve discomfort. Avoid scratching the rash. Seek medical help if the rash is severe or covers a large area.
How to treat Sunburn?,Cool the burn with lukewarm water or cool compresses. Apply aloe vera or moisturizing lotion to the affected area. Drink plenty of fluids to stay hydrated. Avoid further sun exposure until the burn heals. Seek medical help if there are signs of severe sunburn or dehydration.
What to do for Sunburn?,Cool the burn with lukewarm water or cool compresses. Apply aloe vera or moisturizing lotion to the affected area. Drink plenty of fluids to stay hydrated. Avoid further sun exposure until the burn heals. Seek medical help if there are signs of severe sunburn or dehydration.
First aid for Sunburn?,Cool the burn with lukewarm water or cool compresses. Apply aloe vera or moisturizing lotion to the affected area. Drink plenty of fluids to stay hydrated. Avoid further sun exposure until the burn heals. Seek medical help if there are signs of severe sunburn or dehydration.
How to manage Sunburn?,Cool the burn with lukewarm water or cool compresses. Apply aloe vera or moisturizing lotion to the affected area. Drink plenty of fluids to stay hydrated. Avoid further sun exposure until the burn heals. Seek medical help if there are signs of severe sunburn or dehydration.
Sunburn,Cool the burn with lukewarm water or cool compresses. Apply aloe vera or moisturizing lotion to the affected area. Drink plenty of fluids to stay hydrated. Avoid further sun exposure until the burn heals. Seek medical help if there are signs of severe sunburn or dehydration.
How to treat Earache?,Apply a warm compress to the affected ear. Use over-the-counter pain relievers to reduce discomfort. Keep the ear dry and avoid inserting anything into the ear canal. Seek medical help if the pain persists or if there are signs of infection.
What to do for Earache?,Apply a warm compress to the affected ear. Use over-the-counter pain relievers to reduce discomfort. Keep the ear dry and avoid inserting anything into the ear canal. Seek medical help if the pain persists or if there are signs of infection.
First aid for Earache?,Apply a warm compress to the affected ear. Use over-the-counter pain relievers to reduce discomfort. Keep the ear dry and avoid inserting anything into the ear canal. Seek medical help if the pain persists or if there are signs of infection.
How to manage Earache?,Apply a warm compress to the affected ear. Use over-the-counter pain relievers to reduce discomfort. Keep the ear dry and avoid inserting anything into the ear canal. Seek medical help if the pain persists or if there are signs of infection.
Earache,Apply a warm compress to the affected ear. Use over-the-counter pain relievers to reduce discomfort. Keep the ear dry and avoid inserting anything into the ear canal. Seek medical help if the pain persists or if there are signs of infection.
How to treat Cough?,Stay hydrated by drinking plenty of fluids. Use over-the-counter cough medications or throat lozenges to relieve symptoms. Use a humidifier to keep the air moist. Avoid smoking and exposure to irritants. Seek medical help if the cough persists for more than a week or is accompanied by other severe symptoms.
What to do for Cough?,Stay hydrated by drinking plenty of fluids. Use over-the-counter cough medications or throat lozenges to relieve symptoms. Use a humidifier to keep the air moist. Avoid smoking and exposure to irritants. Seek medical help if the cough persists for more than a week or is accompanied by other severe symptoms.
First aid for Cough?,Stay hydrated by drinking plenty of fluids. Use over-the-counter cough medications or throat lozenges to relieve symptoms. Use a humidifier to keep the air moist. Avoid smoking and exposure to irritants. Seek medical help if the cough persists for more than a week or is accompanied by other severe symptoms.
How to manage Cough?,Stay hydrated by drinking plenty of fluids. Use over-the-counter cough medications or throat lozenges to relieve symptoms. Use a humidifier to keep the air moist. Avoid smoking and exposure to irritants. Seek medical help if the cough persists for more than a week or is accompanied by other severe symptoms.
Cough,Stay hydrated by drinking plenty of fluids. Use over-the-counter cough medications or throat lozenges to relieve symptoms. Use a humidifier to keep the air moist. Avoid smoking and exposure to irritants. Seek medical help if the cough persists for more than a week or is accompanied by other severe symptoms.
How to treat Sore Throat?,Gargle with warm salt water several times a day. Use throat lozenges or over-the-counter pain relievers to ease discomfort. Stay hydrated by drinking plenty of fluids. Avoid smoking and exposure to irritants. Seek medical help if the sore throat persists for more than a week or is accompanied by other severe symptoms.
What to do for Sore Throat?,Gargle with warm salt water several times a day. Use throat lozenges or over-the-counter pain relievers to ease discomfort. Stay hydrated by drinking plenty of fluids. Avoid smoking and exposure to irritants. Seek medical help if the sore throat persists for more than a week or is accompanied by other severe symptoms.
First aid for Sore Throat?,Gargle with warm salt water several times a day. Use throat lozenges or over-the-counter pain relievers to ease discomfort. Stay hydrated by drinking plenty of fluids. Avoid smoking and exposure to irritants. Seek medical help if the sore throat persists for more than a week or is accompanied by other severe symptoms.
How to manage Sore Throat?,Gargle with warm salt water several times a day. Use throat lozenges or over-the-counter pain relievers to ease discomfort. Stay hydrated by drinking plenty of fluids. Avoid smoking and exposure to irritants. Seek medical help if the sore throat persists for more than a week or is accompanied by other severe symptoms.
Sore Throat,Gargle with warm salt water several times a day. Use throat lozenges or over-the-counter pain relievers to ease discomfort. Stay hydrated by drinking plenty of fluids. Avoid smoking and exposure to irritants. Seek medical help if the sore throat persists for more than a week or is accompanied by other severe symptoms.
How to treat Ear Infection?,"Use over-the-counter pain relievers to reduce discomfort. Apply a warm compress to the affected ear. Keep the ear dry and avoid inserting anything into the ear canal. Seek medical help for proper diagnosis and treatment, which may include antibiotics."
What to do for Ear Infection?,"Use over-the-counter pain relievers to reduce discomfort. Apply a warm compress to the affected ear. Keep the ear dry and avoid inserting anything into the ear canal. Seek medical help for proper diagnosis and treatment, which may include antibiotics."
First aid for Ear Infection?,"Use over-the-counter pain relievers to reduce discomfort. Apply a warm compress to the affected ear. Keep the ear dry and avoid inserting anything into the ear canal. Seek medical help for proper diagnosis and treatment, which may include antibiotics."
How to manage Ear Infection?,"Use over-the-counter pain relievers to reduce discomfort. Apply a warm compress to the affected ear. Keep the ear dry and avoid inserting anything into the ear canal. Seek medical help for proper diagnosis and treatment, which may include antibiotics."
Ear Infection,"Use over-the-counter pain relievers to reduce discomfort. Apply a warm compress to the affected ear. Keep the ear dry and avoid inserting anything into the ear canal. Seek medical help for proper diagnosis and treatment, which may include antibiotics."
How to treat Respiratory Infection?,Stay hydrated by drinking plenty of fluids. Use over-the-counter medications to relieve symptoms. Rest as much as possible. Avoid smoking and exposure to irritants. Seek medical help if symptoms worsen or if there are signs of a more serious infection.
What to do for Respiratory Infection?,Stay hydrated by drinking plenty of fluids. Use over-the-counter medications to relieve symptoms. Rest as much as possible. Avoid smoking and exposure to irritants. Seek medical help if symptoms worsen or if there are signs of a more serious infection.
First aid for Respiratory Infection?,Stay hydrated by drinking plenty of fluids. Use over-the-counter medications to relieve symptoms. Rest as much as possible. Avoid smoking and exposure to irritants. Seek medical help if symptoms worsen or if there are signs of a more serious infection.
How to manage Respiratory Infection?,Stay hydrated by drinking plenty of fluids. Use over-the-counter medications to relieve symptoms. Rest as much as possible. Avoid smoking and exposure to irritants. Seek medical help if symptoms worsen or if there are signs of a more serious infection.
Respiratory Infection,Stay hydrated by drinking plenty of fluids. Use over-the-counter medications to relieve symptoms. Rest as much as possible. Avoid smoking and exposure to irritants. Seek medical help if symptoms worsen or if there are signs of a more serious infection.
How to treat Stomach Ache?,"Stay hydrated by drinking plenty of fluids. Eat bland foods such as rice, bananas, and toast. Avoid spicy, fatty, or greasy foods. Use over-the-counter medications to relieve symptoms. Seek medical help if the pain is severe or persists for more than a few days."
What to do for Stomach Ache?,"Stay hydrated by drinking plenty of fluids. Eat bland foods such as rice, bananas, and toast. Avoid spicy, fatty, or greasy foods. Use over-the-counter medications to relieve symptoms. Seek medical help if the pain is severe or persists for more than a few days."
First aid for Stomach Ache?,"Stay hydrated by drinking plenty of fluids. Eat bland foods such as rice, bananas, and toast. Avoid spicy, fatty, or greasy foods. Use over-the-counter medications to relieve symptoms. Seek medical help if the pain is severe or persists for more than a few days."
How to manage Stomach Ache?,"Stay hydrated by drinking plenty of fluids. Eat bland foods such as rice, bananas, and toast. Avoid spicy, fatty, or greasy foods. Use over-the-counter medications to relieve symptoms. Seek medical help if the pain is severe or persists for more than a few days."
Stomach Ache,"Stay hydrated by drinking plenty of fluids. Eat bland foods such as rice, bananas, and toast. Avoid spicy, fatty, or greasy foods. Use over-the-counter medications to relieve symptoms. Seek medical help if the pain is severe or persists for more than a few days."
How to treat Vomiting?,Stay hydrated by drinking small sips of water or oral rehydration solutions. Avoid solid foods until vomiting subsides. Rest as much as possible. Use over-the-counter medications to relieve symptoms if necessary. Seek medical help if vomiting persists for more than 24 hours or if there are signs of dehydration.
