,question,answer
185,"[""How to treat Poison Ivy?"", ""What to do for Poison Ivy?"", ""First aid for Poison Ivy?"", ""How to manage Poison Ivy?"", ""Poison Ivy""]","[""Wash the affected area with soap and water as soon as possible. Apply calamine lotion or hydrocortisone cream to reduce itching and swelling. Use cold compresses to relieve discomfort. Avoid scratching the rash. Seek medical help if the rash is severe or covers a large area.""]"
186,"[""How to treat Food Poisoning?"", ""What to do for Food Poisoning?"", ""First aid for Food Poisoning?"", ""How to manage Food Poisoning?"", ""Food Poisoning""]","[""Stay hydrated by drinking plenty of fluids. Rest and avoid solid foods until vomiting and diarrhea subside. Eat bland foods like crackers and toast. Use over-the-counter medications like antidiarrheals if necessary. Seek medical help if symptoms persist or are severe.""]"
187,"[""How to treat Scabies?"", ""What to do for Scabies?"", ""First aid for Scabies?"", ""How to manage Scabies?"", ""Scabies""]","[""Apply prescribed topical medications to the affected areas. Wash all clothing, bedding, and towels in hot water. Avoid close contact with others until treated. Keep the skin clean and dry. Seek medical help if symptoms persist or worsen.""]"
188,"[""How to treat Ringworm?"", ""What to do for Ringworm?"", ""First aid for Ringworm?"", ""How to manage Ringworm?"", ""Ringworm""]","[""Use over-the-counter antifungal creams or ointments. Keep the affected area clean and dry. Avoid sharing personal items like towels and clothing. Wash hands frequently to prevent the spread. Seek medical help if symptoms persist or worsen.""]"
189,"[""How to treat Athlete's Foot?"", ""What to do for Athlete's Foot?"", ""First aid for Athlete's Foot?"", ""How to manage Athlete's Foot?"", ""Athlete's Foot""]","[""Use over-the-counter antifungal creams or powders. Keep the feet clean and dry. Wear breathable shoes and change socks regularly. Avoid walking barefoot in public areas. Seek medical help if symptoms persist or worsen.""]"
190,"[""How to treat Eczema?"", ""What to do for Eczema?"", ""First aid for Eczema?"", ""How to manage Eczema?"", ""Eczema""]","[""Apply prescribed topical medications or over-the-counter creams. Keep the skin moisturized with hypoallergenic lotions. Avoid triggers such as harsh soaps and stress. Wear soft, breathable clothing. Seek medical help if symptoms persist or worsen.""]"
191,"[""How to treat Psoriasis?"", ""What to do for Psoriasis?"", ""First aid for Psoriasis?"", ""How to manage Psoriasis?"", ""Psoriasis""]","[""Apply prescribed topical treatments or over-the-counter creams. Keep the skin moisturized with hypoallergenic lotions. Avoid triggers such as stress and certain foods. Get regular sunlight exposure. Seek medical help if symptoms persist or worsen.""]"
192,"[""How to treat Chickenpox?"", ""What to do for Chickenpox?"", ""First aid for Chickenpox?"", ""How to manage Chickenpox?"", ""Chickenpox""]","[""Keep the person comfortable and hydrated. Use over-the-counter medications to reduce fever and itching. Apply calamine lotion or oatmeal baths to soothe the skin. Avoid scratching the blisters. Seek medical help if symptoms worsen or if complications arise.""]"
193,"[""How to treat Measles?"", ""What to do for Measles?"", ""First aid for Measles?"", ""How to manage Measles?"", ""Measles""]","[""Keep the person comfortable and hydrated. Use over-the-counter medications to reduce fever and pain. Keep the person isolated to prevent the spread. Avoid bright lights and loud noises. Seek medical help if symptoms worsen or if complications arise.""]"
194,"[""How to treat Mumps?"", ""What to do for Mumps?"", ""First aid for Mumps?"", ""How to manage Mumps?"", ""Mumps""]","[""Keep the person comfortable and hydrated. Use over-the-counter medications to reduce fever and pain. Apply warm or cold compresses to swollen glands. Avoid sour foods and drinks. Seek medical help if symptoms worsen or if complications arise.""]"
195,"[""How to treat Rubella?"", ""What to do for Rubella?"", ""First aid for Rubella?"", ""How to manage Rubella?"", ""Rubella""]","[""Keep the person comfortable and hydrated. Use over-the-counter medications to reduce fever and pain. Avoid contact with pregnant women. Keep the person isolated to prevent the spread. Seek medical help if symptoms worsen or if complications arise.""]"
196,"[""How to treat Scarlet Fever?"", ""What to do for Scarlet Fever?"", ""First aid for Scarlet Fever?"", ""How to manage Scarlet Fever?"", ""Scarlet Fever""]","[""Administer prescribed antibiotics as directed. Keep the person comfortable and hydrated. Use over-the-counter medications to reduce fever and pain. Avoid close contact with others to prevent the spread. Seek medical help if symptoms worsen or if complications arise.""]"
197,"[""How to treat Whooping Cough?"", ""What to do for Whooping Cough?"", ""First aid for Whooping Cough?"", ""How to manage Whooping Cough?"", ""Whooping Cough""]","[""Administer prescribed antibiotics as directed. Keep the person comfortable and hydrated. Use over-the-counter medications to reduce fever and pain. Avoid close contact with others to prevent the spread. Seek medical help if symptoms worsen or if complications arise.""]"
198,"[""How to treat Tuberculosis?"", ""What to do for Tuberculosis?"", ""First aid for Tuberculosis?"", ""How to manage Tuberculosis?"", ""Tuberculosis""]","[""Administer prescribed antibiotics as directed. Ensure the person takes the full course of medication. Keep the person isolated to prevent the spread. Ensure good ventilation in living areas. Seek medical help if symptoms worsen or if complications arise.""]"
199,"[""How to treat Malaria?"", ""What to do for Malaria?"", ""First aid for Malaria?"", ""How to manage Malaria?"", ""Malaria""]","[""Administer prescribed antimalarial medications as directed. Keep the person comfortable and hydrated. Use over-the-counter medications to reduce fever and pain. Avoid mosquito bites by using nets and repellents. Seek medical help if symptoms worsen or if complications arise.""]"
200,"[""How to treat Typhoid?"", ""What to do for Typhoid?"", ""First aid for Typhoid?"", ""How to manage Typhoid?"", ""Typhoid""]","[""Administer prescribed antibiotics as directed. Keep the person comfortable and hydrated. Use over-the-counter medications to reduce fever and pain. Ensure good sanitation and hygiene practices. Seek medical help if symptoms worsen or if complications arise.""]"
201,"[""How to treat Cholera?"", ""What to do for Cholera?"", ""First aid for Cholera?"", ""How to manage Cholera?"", ""Cholera""]","[""Administer oral rehydration solutions to prevent dehydration. Keep the person comfortable and hydrated. Use over-the-counter medications to reduce diarrhea and pain. Ensure good sanitation and hygiene practices. Seek medical help if symptoms worsen or if complications arise.""]"
202,"[""How to treat Dengue Fever?"", ""What to do for Dengue Fever?"", ""First aid for Dengue Fever?"", ""How to manage Dengue Fever?"", ""Dengue Fever""]","[""Keep the person comfortable and hydrated. Use over-the-counter medications to reduce fever and pain. Avoid mosquito bites by using nets and repellents. Monitor for signs of complications such as bleeding. Seek medical help if symptoms worsen or if complications arise.""]"
203,"[""How to treat Zika Virus?"", ""What to do for Zika Virus?"", ""First aid for Zika Virus?"", ""How to manage Zika Virus?"", ""Zika Virus""]","[""Keep the person comfortable and hydrated. Use over-the-counter medications to reduce fever and pain. Avoid mosquito bites by using nets and repellents. Seek medical help if symptoms worsen or if complications arise. Avoid contact with pregnant women.""]"
204,"[""How to treat Ebola?"", ""What to do for Ebola?"", ""First aid for Ebola?"", ""How to manage Ebola?"", ""Ebola""]","[""Seek medical help immediately as Ebola is a medical emergency. Keep the person isolated to prevent the spread. Ensure they are hydrated and comfortable. Follow the advice of medical professionals. Be prepared to follow strict infection control procedures.""]"
205,"[""How to treat Swine Flu?"", ""What to do for Swine Flu?"", ""First aid for Swine Flu?"", ""How to manage Swine Flu?"", ""Swine Flu""]","[""Administer prescribed antiviral medications as directed. Keep the person comfortable and hydrated. Use over-the-counter medications to reduce fever and pain. Avoid close contact with others to prevent the spread. Seek medical help if symptoms worsen or if complications arise.""]"
206,"[""How to treat Avian Flu?"", ""What to do for Avian Flu?"", ""First aid for Avian Flu?"", ""How to manage Avian Flu?"", ""Avian Flu""]","[""Administer prescribed antiviral medications as directed. Keep the person comfortable and hydrated. Use over-the-counter medications to reduce fever and pain. Avoid close contact with others to prevent the spread. Seek medical help if symptoms worsen or if complications arise.""]"
207,"[""How to treat HIV?"", ""What to do for HIV?"", ""First aid for HIV?"", ""How to manage HIV?"", ""HIV""]","[""Administer prescribed antiretroviral medications as directed. Ensure the person follows their treatment plan. Maintain a healthy diet and lifestyle. Avoid sharing needles and practice safe sex. Seek medical help if symptoms worsen or if complications arise.""]"
208,"[""How to treat AIDS?"", ""What to do for AIDS?"", ""First aid for AIDS?"", ""How to manage AIDS?"", ""AIDS""]","[""Administer prescribed antiretroviral medications as directed. Ensure the person follows their treatment plan. Maintain a healthy diet and lifestyle. Avoid sharing needles and practice safe sex. Seek medical help if symptoms worsen or if complications arise.""]"
209,"[""How to treat COVID-19?"", ""What to do for COVID-19?"", ""First aid for COVID-19?"", ""How to manage COVID-19?"", ""COVID-19""]","[""Follow public health guidelines and protocols. Keep the person isolated to prevent the spread. Ensure they are hydrated and comfortable. Use over-the-counter medications to reduce fever and pain. Seek medical help if symptoms worsen or if complications arise.""]"
210,"[""How to treat Frostbite?"", ""What to do for Frostbite?"", ""First aid for Frostbite?"", ""How to manage Frostbite?"", ""Frostbite""]","[""Move the person to a warm environment. Remove any wet clothing and cover the affected areas with dry, sterile dressings. Gradually warm the frostbitten areas with warm (not hot) water. Avoid rubbing the frostbitten skin. Seek medical help if the condition is severe or if blisters develop.""]"
211,"[""How to treat Hypothermia?"", ""What to do for Hypothermia?"", ""First aid for Hypothermia?"", ""How to manage Hypothermia?"", ""Hypothermia""]","[""Move the person to a warm environment. Remove any wet clothing and replace with dry, warm blankets. Provide warm, non-alcoholic beverages if the person is conscious. Avoid using direct heat sources. Seek medical help immediately.""]"
212,"[""How to treat Heat Exhaustion?"", ""What to do for Heat Exhaustion?"", ""First aid for Heat Exhaustion?"", ""How to manage Heat Exhaustion?"", ""Heat Exhaustion""]","[""Move the person to a cool, shaded area. Loosen tight clothing and apply cool, wet cloths to the skin. Encourage the person to drink cool water or electrolyte drinks. Avoid giving caffeine or alcohol. Seek medical help if symptoms worsen or do not improve within an hour.""]"
213,"[""How to treat Heat Stroke?"", ""What to do for Heat Stroke?"", ""First aid for Heat Stroke?"", ""How to manage Heat Stroke?"", ""Heat Stroke""]","[""Call emergency services immediately as heat stroke is a medical emergency. Move the person to a cool, shaded area and remove excess clothing. Cool the person by spraying with water, applying cool, wet cloths, or using ice packs on the neck, armpits, and groin. Do not give fluids if the person is unconscious.""]"
214,"[""How to treat Choking?"", ""What to do for Choking?"", ""First aid for Choking?"", ""How to manage Choking?"", ""Choking""]","[""Perform the Heimlich maneuver if the person cannot speak, cough, or breathe. Stand behind the person and wrap your arms around their waist. Make a fist with one hand and place it just above the navel. Grasp your fist with the other hand and perform quick, upward thrusts. Seek medical help if the person does not recover quickly.""]"
215,"[""How to treat Electric Shock?"", ""What to do for Electric Shock?"", ""First aid for Electric Shock?"", ""How to manage Electric Shock?"", ""Electric Shock""]","[""Ensure the scene is safe and turn off the source of electricity if possible. Do not touch the person with bare hands if they are still in contact with the source. Call emergency services immediately. If the person is unconscious, check for breathing and pulse, and begin CPR if necessary.""]"
216,"[""How to treat Burns?"", ""What to do for Burns?"", ""First aid for Burns?"", ""How to manage Burns?"", ""Burns""]","[""Cool the burn under running water for at least 10 minutes. Cover the burn with a sterile, non-stick dressing or cloth. Do not apply creams, oils, or ice to the burn. Seek medical help for burns that are large, deep, or involve the face, hands, feet, or genitals.""]"
217,"[""How to treat Chemical Burns?"", ""What to do for Chemical Burns?"", ""First aid for Chemical Burns?"", ""How to manage Chemical Burns?"", ""Chemical Burns""]","[""Remove any contaminated clothing and rinse the affected area with running water for at least 20 minutes. Avoid using strong streams of water that could further damage the skin. Do not apply creams or ointments. Seek medical help immediately.""]"
218,"[""How to treat Nosebleeds?"", ""What to do for Nosebleeds?"", ""First aid for Nosebleeds?"", ""How to manage Nosebleeds?"", ""Nosebleeds""]","[""Sit the person upright and lean forward slightly. Pinch the soft part of the nose just above the nostrils for 10-15 minutes. Encourage the person to breathe through their mouth. Avoid blowing the nose or inserting anything into the nostrils. Seek medical help if the bleeding does not stop after 20 minutes or is severe.""]"
219,"[""How to treat Eye Injuries?"", ""What to do for Eye Injuries?"", ""First aid for Eye Injuries?"", ""How to manage Eye Injuries?"", ""Eye Injuries""]","[""Avoid rubbing the eye and do not attempt to remove any objects stuck in the eye. Rinse the eye gently with clean water if there is debris. Cover the eye with a sterile bandage or cloth. Seek medical help immediately.""]"
220,"[""How to treat Ear Injuries?"", ""What to do for Ear Injuries?"", ""First aid for Ear Injuries?"", ""How to manage Ear Injuries?"", ""Ear Injuries""]","[""Avoid inserting anything into the ear canal. Gently clean the outer ear with a sterile cloth if there is bleeding. Apply a cold pack to reduce swelling. Seek medical help if there is severe pain, hearing loss, or signs of infection.""]"
221,"[""How to treat Toothache?"", ""What to do for Toothache?"", ""First aid for Toothache?"", ""How to manage Toothache?"", ""Toothache""]","[""Rinse the mouth with warm salt water. Use over-the-counter pain relievers to reduce pain. Apply a cold pack to the outside of the cheek to reduce swelling. Avoid eating very hot or cold foods. Seek dental help if the pain persists or is severe.""]"
222,"[""How to treat Swallowed Object?"", ""What to do for Swallowed Object?"", ""First aid for Swallowed Object?"", ""How to manage Swallowed Object?"", ""Swallowed Object""]","[""If the person is coughing or able to speak, encourage them to continue coughing to expel the object. If they are unable to breathe or speak, perform the Heimlich maneuver. Seek medical help immediately if the object is not expelled or if the person shows signs of distress.""]"
223,"[""How to treat Broken Bone?"", ""What to do for Broken Bone?"", ""First aid for Broken Bone?"", ""How to manage Broken Bone?"", ""Broken Bone""]","[""Immobilize the injured area using a splint or sling. Apply ice packs to reduce swelling. Avoid moving the person unless necessary. Seek medical help immediately. Do not attempt to realign the bone.""]"
224,"[""How to treat Dislocation?"", ""What to do for Dislocation?"", ""First aid for Dislocation?"", ""How to manage Dislocation?"", ""Dislocation""]","[""Immobilize the affected joint using a splint or sling. Apply ice packs to reduce swelling. Avoid moving the joint or attempting to realign it. Seek medical help immediately.""]"
225,"[""How to treat Sprain?"", ""What to do for Sprain?"", ""First aid for Sprain?"", ""How to manage Sprain?"", ""Sprain""]","[""Rest the injured area and avoid putting weight on it. Apply ice packs to reduce swelling and pain. Use compression bandages to support the area. Elevate the injured limb to reduce swelling. Seek medical help if the pain and swelling do not improve.""]"
226,"[""How to treat Strain?"", ""What to do for Strain?"", ""First aid for Strain?"", ""How to manage Strain?"", ""Strain""]","[""Rest the injured muscle and avoid activities that cause pain. Apply ice packs to reduce swelling and pain. Use compression bandages to support the area. Elevate the injured limb to reduce swelling. Seek medical help if the pain and swelling do not improve.""]"
227,"[""How to treat Blisters?"", ""What to do for Blisters?"", ""First aid for Blisters?"", ""How to manage Blisters?"", ""Blisters""]","[""Clean the blister with mild soap and water. Cover it with a sterile bandage or blister pad. Avoid popping the blister as it can lead to infection. If the blister breaks, clean it and apply an antibiotic ointment. Seek medical help if there are signs of infection.""]"
228,"[""How to treat Splinter?"", ""What to do for Splinter?"", ""First aid for Splinter?"", ""How to manage Splinter?"", ""Splinter""]","[""Clean the area with soap and water. Use sterilized tweezers to gently remove the splinter. Wash the area again and apply an antibiotic ointment. Cover with a sterile bandage if necessary. Seek medical help if the splinter is deeply embedded or if there are signs of infection.""]"
229,"[""How to treat Bee Sting?"", ""What to do for Bee Sting?"", ""First aid for Bee Sting?"", ""How to manage Bee Sting?"", ""Bee Sting""]","[""Remove the stinger by scraping it off with a flat object. Wash the area with soap and water. Apply a cold pack to reduce swelling and pain. Use over-the-counter antihistamines or pain relievers if necessary. Seek medical help if there are signs of an allergic reaction.""]"
230,"[""How to treat Tick Bite?"", ""What to do for Tick Bite?"", ""First aid for Tick Bite?"", ""How to manage Tick Bite?"", ""Tick Bite""]","[""Remove the tick using tweezers, grasping it close to the skin and pulling steadily. Clean the bite area with soap and water. Apply an antiseptic to the bite area. Monitor for signs of infection or illness. Seek medical help if a rash or fever develops.""]"
231,"[""How to treat Spider Bite?"", ""What to do for Spider Bite?"", ""First aid for Spider Bite?"", ""How to manage Spider Bite?"", ""Spider Bite""]","[""Wash the bite area with soap and water. Apply a cold pack to reduce swelling and pain. Use over-the-counter pain relievers if necessary. Monitor for signs of an allergic reaction or infection. Seek medical help if symptoms worsen or if the bite is from a venomous spider.""]"
232,"[""How to treat Animal Bite?"", ""What to do for Animal Bite?"", ""First aid for Animal Bite?"", ""How to manage Animal Bite?"", ""Animal Bite""]","[""Wash the bite area thoroughly with soap and water. Apply an antiseptic to the wound. Cover with a sterile bandage. Seek medical help immediately to assess the risk of rabies or other infections. Keep the person calm and still.""]"
233,"[""How to treat Jellyfish Sting?"", ""What to do for Jellyfish Sting?"", ""First aid for Jellyfish Sting?"", ""How to manage Jellyfish Sting?"", ""Jellyfish Sting""]","[""Rinse the sting area with vinegar or seawater to deactivate the stingers. Do not use fresh water. Remove any tentacles with a stick or tweezers. Soak the area in hot water (not scalding) for 20-45 minutes. Seek medical help if symptoms worsen or if there are signs of an allergic reaction.""]"
234,"[""How to treat Poison Ivy?"", ""What to do for Poison Ivy?"", ""First aid for Poison Ivy?"", ""How to manage Poison Ivy?"", ""Poison Ivy""]","[""Wash the affected area with soap and water as soon as possible. Apply calamine lotion or hydrocortisone cream to reduce itching and swelling. Use cold compresses to relieve discomfort. Avoid scratching the rash. Seek medical help if the rash is severe or covers a large area.""]"
235,"[""How to treat Poison Oak?"", ""What to do for Poison Oak?"", ""First aid for Poison Oak?"", ""How to manage Poison Oak?"", ""Poison Oak""]","[""Wash the affected area with soap and water as soon as possible. Apply calamine lotion or hydrocortisone cream to reduce itching and swelling. Use cold compresses to relieve discomfort. Avoid scratching the rash. Seek medical help if the rash is severe or covers a large area.""]"
236,"[""How to treat Poison Sumac?"", ""What to do for Poison Sumac?"", ""First aid for Poison Sumac?"", ""How to manage Poison Sumac?"", ""Poison Sumac""]","[""Wash the affected area with soap and water as soon as possible. Apply calamine lotion or hydrocortisone cream to reduce itching and swelling. Use cold compresses to relieve discomfort. Avoid scratching the rash. Seek medical help if the rash is severe or covers a large area.""]"
237,"[""How to treat Sunburn?"", ""What to do for Sunburn?"", ""First aid for Sunburn?"", ""How to manage Sunburn?"", ""Sunburn""]","[""Cool the burn with lukewarm water or cool compresses. Apply aloe vera or moisturizing lotion to the affected area. Drink plenty of fluids to stay hydrated. Avoid further sun exposure until the burn heals. Seek medical help if there are signs of severe sunburn or dehydration.""]"
238,"[""How to treat Earache?"", ""What to do for Earache?"", ""First aid for Earache?"", ""How to manage Earache?"", ""Earache""]","[""Apply a warm compress to the affected ear. Use over-the-counter pain relievers to reduce discomfort. Keep the ear dry and avoid inserting anything into the ear canal. Seek medical help if the pain persists or if there are signs of infection.""]"
239,"[""How to treat Cough?"", ""What to do for Cough?"", ""First aid for Cough?"", ""How to manage Cough?"", ""Cough""]","[""Stay hydrated by drinking plenty of fluids. Use over-the-counter cough medications or throat lozenges to relieve symptoms. Use a humidifier to keep the air moist. Avoid smoking and exposure to irritants. Seek medical help if the cough persists for more than a week or is accompanied by other severe symptoms.""]"
240,"[""How to treat Sore Throat?"", ""What to do for Sore Throat?"", ""First aid for Sore Throat?"", ""How to manage Sore Throat?"", ""Sore Throat""]","[""Gargle with warm salt water several times a day. Use throat lozenges or over-the-counter pain relievers to ease discomfort. Stay hydrated by drinking plenty of fluids. Avoid smoking and exposure to irritants. Seek medical help if the sore throat persists for more than a week or is accompanied by other severe symptoms.""]"
241,"[""How to treat Ear Infection?"", ""What to do for Ear Infection?"", ""First aid for Ear Infection?"", ""How to manage Ear Infection?"", ""Ear Infection""]","[""Use over-the-counter pain relievers to reduce discomfort. Apply a warm compress to the affected ear. Keep the ear dry and avoid inserting anything into the ear canal. Seek medical help for proper diagnosis and treatment, which may include antibiotics.""]"
242,"[""How to treat Respiratory Infection?"", ""What to do for Respiratory Infection?"", ""First aid for Respiratory Infection?"", ""How to manage Respiratory Infection?"", ""Respiratory Infection""]","[""Stay hydrated by drinking plenty of fluids. Use over-the-counter medications to relieve symptoms. Rest as much as possible. Avoid smoking and exposure to irritants. Seek medical help if symptoms worsen or if there are signs of a more serious infection.""]"
243,"[""How to treat Stomach Ache?"", ""What to do for Stomach Ache?"", ""First aid for Stomach Ache?"", ""How to manage Stomach Ache?"", ""Stomach Ache""]","[""Stay hydrated by drinking plenty of fluids. Eat bland foods such as rice, bananas, and toast. Avoid spicy, fatty, or greasy foods. Use over-the-counter medications to relieve symptoms. Seek medical help if the pain is severe or persists for more than a few days.""]"
244,"[""How to treat Vomiting?"", ""What to do for Vomiting?"", ""First aid for Vomiting?"", ""How to manage Vomiting?"", ""Vomiting""]","[""Stay hydrated by drinking small sips of water or oral rehydration solutions. Avoid solid foods until vomiting subsides. Rest as much as possible. Use over-the-counter medications to relieve symptoms if necessary. Seek medical help if vomiting persists for more than 24 hours or if there are signs of dehydration.""]"
245,"[""How to treat Diarrhea?"", ""What to do for Diarrhea?"", ""First aid for Diarrhea?"", ""How to manage Diarrhea?"", ""Diarrhea""]","[""Stay hydrated by drinking plenty of fluids or oral rehydration solutions. Eat bland foods such as rice, bananas, and toast. Avoid dairy, fatty, or greasy foods. Use over-the-counter medications to relieve symptoms if necessary. Seek medical help if diarrhea persists for more than 48 hours or if there are signs of dehydration.""]"
246,"[""How to treat Constipation?"", ""What to do for Constipation?"", ""First aid for Constipation?"", ""How to manage Constipation?"", ""Constipation""]","[""Increase fiber intake by eating fruits, vegetables, and whole grains. Stay hydrated by drinking plenty of fluids. Engage in regular physical activity. Use over-the-counter laxatives if necessary. Seek medical help if constipation persists for more than a week or is accompanied by severe pain.""]"
247,"[""How to treat Gas?"", ""What to do for Gas?"", ""First aid for Gas?"", ""How to manage Gas?"", ""Gas""]","[""Avoid foods that cause gas such as beans, carbonated drinks, and certain vegetables. Eat slowly and avoid chewing gum. Use over-the-counter medications to relieve symptoms. Engage in light physical activity to help move gas through the digestive system. Seek medical help if the pain is severe or persistent.""]"
248,"[""How to treat Heartburn?"", ""What to do for Heartburn?"", ""First aid for Heartburn?"", ""How to manage Heartburn?"", ""Heartburn""]","[""Avoid foods and drinks that trigger heartburn such as spicy foods, alcohol, and caffeine. Eat smaller, more frequent meals. Avoid lying down immediately after eating. Use over-the-counter antacids to relieve symptoms. Seek medical help if heartburn occurs frequently or is severe.""]"
249,"[""How to treat Indigestion?"", ""What to do for Indigestion?"", ""First aid for Indigestion?"", ""How to manage Indigestion?"", ""Indigestion""]","[""Eat smaller, more frequent meals. Avoid spicy, fatty, or greasy foods. Stay upright for at least 30 minutes after eating. Use over-the-counter antacids to relieve symptoms. Seek medical help if indigestion occurs frequently or is severe.""]"
250,"[""How to treat Ulcer?"", ""What to do for Ulcer?"", ""First aid for Ulcer?"", ""How to manage Ulcer?"", ""Ulcer""]","[""Avoid foods and drinks that irritate the stomach lining such as spicy foods, alcohol, and caffeine. Take medications as prescribed by a healthcare provider. Eat smaller, more frequent meals. Avoid smoking and reduce stress. Seek medical help if symptoms worsen or if there is severe pain or bleeding.""]"
251,"[""How to treat Gastritis?"", ""What to do for Gastritis?"", ""First aid for Gastritis?"", ""How to manage Gastritis?"", ""Gastritis""]","[""Avoid foods and drinks that irritate the stomach lining such as spicy foods, alcohol, and caffeine. Take medications as prescribed by a healthcare provider. Eat smaller, more frequent meals. Avoid smoking and reduce stress. Seek medical help if symptoms worsen or if there is severe pain or bleeding.""]"
252,"[""How to treat Pancreatitis?"", ""What to do for Pancreatitis?"", ""First aid for Pancreatitis?"", ""How to manage Pancreatitis?"", ""Pancreatitis""]","[""Seek medical help immediately as pancreatitis can be a serious condition. Avoid eating or drinking until assessed by a healthcare provider. Rest and stay hydrated. Follow the treatment plan prescribed by the healthcare provider.""]"
253,"[""How to treat Appendicitis?"", ""What to do for Appendicitis?"", ""First aid for Appendicitis?"", ""How to manage Appendicitis?"", ""Appendicitis""]","[""Seek medical help immediately as appendicitis is a medical emergency. Avoid eating or drinking until assessed by a healthcare provider. Rest and avoid strenuous activities. Follow the treatment plan prescribed by the healthcare provider, which may include surgery.""]"
254,"[""How to treat Gallbladder Attack?"", ""What to do for Gallbladder Attack?"", ""First aid for Gallbladder Attack?"", ""How to manage Gallbladder Attack?"", ""Gallbladder Attack""]","[""Seek medical help immediately if there is severe pain or signs of infection. Avoid eating or drinking until assessed by a healthcare provider. Rest and stay hydrated. Follow the treatment plan prescribed by the healthcare provider, which may include medication or surgery.""]"
255,"[""How to treat Kidney Stones?"", ""What to do for Kidney Stones?"", ""First aid for Kidney Stones?"", ""How to manage Kidney Stones?"", ""Kidney Stones""]","[""Drink plenty of fluids to help pass the stone. Use over-the-counter pain relievers to manage pain. Avoid foods high in oxalate and reduce salt intake. Seek medical help if there is severe pain, blood in the urine, or signs of infection. Follow the treatment plan prescribed by the healthcare provider.""]"
256,"[""How to treat Urinary Tract Infection?"", ""What to do for Urinary Tract Infection?"", ""First aid for Urinary Tract Infection?"", ""How to manage Urinary Tract Infection?"", ""Urinary Tract Infection""]","[""Drink plenty of fluids to flush out the bacteria. Take medications as prescribed by a healthcare provider. Avoid caffeine, alcohol, and spicy foods that can irritate the bladder. Seek medical help if symptoms worsen or do not improve within a few days. Follow the treatment plan prescribed by the healthcare provider.""]"
257,"[""How to treat Bladder Infection?"", ""What to do for Bladder Infection?"", ""First aid for Bladder Infection?"", ""How to manage Bladder Infection?"", ""Bladder Infection""]","[""Drink plenty of fluids to flush out the bacteria. Take medications as prescribed by a healthcare provider. Avoid caffeine, alcohol, and spicy foods that can irritate the bladder. Seek medical help if symptoms worsen or do not improve within a few days. Follow the treatment plan prescribed by the healthcare provider.""]"
258,"[""How to treat Allergic Reaction?"", ""What to do for Allergic Reaction?"", ""First aid for Allergic Reaction?"", ""How to manage Allergic Reaction?"", ""Allergic Reaction""]","[""Remove the person from the source of the allergen. Use over-the-counter antihistamines to reduce symptoms. Apply cool compresses to reduce itching and swelling. Seek medical help if symptoms worsen or if there are signs of a severe allergic reaction. Carry an epinephrine auto-injector if prescribed by a healthcare provider.""]"
259,"[""How to treat Anaphylaxis?"", ""What to do for Anaphylaxis?"", ""First aid for Anaphylaxis?"", ""How to manage Anaphylaxis?"", ""Anaphylaxis""]","[""Call emergency services immediately as anaphylaxis is a life-threatening condition. Use an epinephrine auto-injector if available. Keep the person calm and lying down. If they are conscious, help them to a comfortable position. Seek medical help even if symptoms improve after using the auto-injector.""]"
260,"[""How to treat Food Poisoning?"", ""What to do for Food Poisoning?"", ""First aid for Food Poisoning?"", ""How to manage Food Poisoning?"", ""Food Poisoning""]","[""Stay hydrated by drinking plenty of fluids. Rest as much as possible. Avoid solid foods until vomiting or diarrhea subsides. Gradually reintroduce bland foods such as rice, bananas, and toast. Seek medical help if symptoms persist for more than 48 hours or if there are signs of severe dehydration.""]"
261,"[""How to treat Salmonella?"", ""What to do for Salmonella?"", ""First aid for Salmonella?"", ""How to manage Salmonella?"", ""Salmonella""]","[""Stay hydrated by drinking plenty of fluids. Rest as much as possible. Avoid solid foods until vomiting or diarrhea subsides. Gradually reintroduce bland foods such as rice, bananas, and toast. Seek medical help if symptoms persist for more than 48 hours or if there are signs of severe dehydration.""]"
262,"[""How to treat E. Coli?"", ""What to do for E. Coli?"", ""First aid for E. Coli?"", ""How to manage E. Coli?"", ""E. Coli""]","[""Stay hydrated by drinking plenty of fluids. Rest as much as possible. Avoid solid foods until vomiting or diarrhea subsides. Gradually reintroduce bland foods such as rice, bananas, and toast. Seek medical help if symptoms persist for more than 48 hours or if there are signs of severe dehydration.""]"
263,"[""How to treat Botulism?"", ""What to do for Botulism?"", ""First aid for Botulism?"", ""How to manage Botulism?"", ""Botulism""]","[""Seek medical help immediately as botulism is a serious condition. Do not induce vomiting. Provide supportive care such as keeping the person comfortable and hydrated. Follow the treatment plan prescribed by the healthcare provider, which may include antitoxin therapy.""]"
264,"[""How to treat Sepsis?"", ""What to do for Sepsis?"", ""First aid for Sepsis?"", ""How to manage Sepsis?"", ""Sepsis""]","[""Seek medical help immediately as sepsis is a life-threatening condition. Provide supportive care such as keeping the person comfortable and hydrated. Follow the treatment plan prescribed by the healthcare provider, which may include antibiotics and hospitalization.""]"
265,"[""How to treat Meningitis?"", ""What to do for Meningitis?"", ""First aid for Meningitis?"", ""How to manage Meningitis?"", ""Meningitis""]","[""Seek medical help immediately as meningitis is a serious condition. Provide supportive care such as keeping the person comfortable and hydrated. Follow the treatment plan prescribed by the healthcare provider, which may include antibiotics or antiviral medications.""]"
